"huc8","name","date","none","d0x","d1x","d2x","d3x","d4x"
"03010102","Middle Roanoke",2003-12-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-12-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-12-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-12-30,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-01-06,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-01-13,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-01-20,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-01-27,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-02-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-02-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-02-17,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-02-24,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-03-02,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-03-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-03-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-03-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-03-30,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-04-06,78.21,21.79,0,0,0,0
"03010102","Middle Roanoke",2004-04-13,78.21,21.79,0,0,0,0
"03010102","Middle Roanoke",2004-04-20,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-04-27,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-05-04,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-05-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-05-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-05-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-06-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-06-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-06-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-06-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-06-29,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-07-06,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-07-13,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-07-20,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-07-27,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-08-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-08-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-08-17,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-08-24,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-08-31,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-09-07,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-09-14,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-09-21,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-09-28,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-10-05,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-10-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-10-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-10-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-11-02,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-11-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-11-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-11-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-11-30,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-12-07,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-12-14,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-12-21,100,0,0,0,0,0
"03010102","Middle Roanoke",2004-12-28,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-01-04,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-01-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-01-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-01-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-02-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-02-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-02-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-02-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-03-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-03-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-03-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-03-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-03-29,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-04-05,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-04-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-04-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-04-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-05-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-05-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-05-17,65.51,34.49,0,0,0,0
"03010102","Middle Roanoke",2005-05-24,93.28,6.72,0,0,0,0
"03010102","Middle Roanoke",2005-05-31,93.28,6.72,0,0,0,0
"03010102","Middle Roanoke",2005-06-07,93.28,6.72,0,0,0,0
"03010102","Middle Roanoke",2005-06-14,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-06-21,26.22,73.78,0,0,0,0
"03010102","Middle Roanoke",2005-06-28,95.65,4.35,0,0,0,0
"03010102","Middle Roanoke",2005-07-05,0,95.56,4.44,0,0,0
"03010102","Middle Roanoke",2005-07-12,85.07,14.93,0,0,0,0
"03010102","Middle Roanoke",2005-07-19,85.07,14.93,0,0,0,0
"03010102","Middle Roanoke",2005-07-26,85.07,14.93,0,0,0,0
"03010102","Middle Roanoke",2005-08-02,99.75,0.25,0,0,0,0
"03010102","Middle Roanoke",2005-08-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-08-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-08-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2005-08-30,70.4,29.6,0,0,0,0
"03010102","Middle Roanoke",2005-09-06,23.2,76.8,0,0,0,0
"03010102","Middle Roanoke",2005-09-13,0,100,0,0,0,0
"03010102","Middle Roanoke",2005-09-20,0,0,100,0,0,0
"03010102","Middle Roanoke",2005-09-27,0,0,100,0,0,0
"03010102","Middle Roanoke",2005-10-04,0,0,6.2,93.8,0,0
"03010102","Middle Roanoke",2005-10-11,0.03,93.85,6.12,0,0,0
"03010102","Middle Roanoke",2005-10-18,0.03,93.85,6.12,0,0,0
"03010102","Middle Roanoke",2005-10-25,0.03,93.85,6.12,0,0,0
"03010102","Middle Roanoke",2005-11-01,0.03,78.44,21.52,0.01,0,0
"03010102","Middle Roanoke",2005-11-08,2.2,78.58,19.21,0.01,0,0
"03010102","Middle Roanoke",2005-11-15,0,80.78,19.21,0.01,0,0
"03010102","Middle Roanoke",2005-11-22,0,85.73,14.27,0,0,0
"03010102","Middle Roanoke",2005-11-29,0,98.09,1.91,0,0,0
"03010102","Middle Roanoke",2005-12-06,81.4,17.72,0.88,0,0,0
"03010102","Middle Roanoke",2005-12-13,80.05,19.07,0.88,0,0,0
"03010102","Middle Roanoke",2005-12-20,88.46,11.54,0,0,0,0
"03010102","Middle Roanoke",2005-12-27,86.61,13.39,0,0,0,0
"03010102","Middle Roanoke",2006-01-03,97.41,2.59,0,0,0,0
"03010102","Middle Roanoke",2006-01-10,97.41,2.59,0,0,0,0
"03010102","Middle Roanoke",2006-01-17,97.41,2.59,0,0,0,0
"03010102","Middle Roanoke",2006-01-24,97.41,2.59,0,0,0,0
"03010102","Middle Roanoke",2006-01-31,66.77,33.23,0,0,0,0
"03010102","Middle Roanoke",2006-02-07,83.02,16.98,0,0,0,0
"03010102","Middle Roanoke",2006-02-14,83.02,16.98,0,0,0,0
"03010102","Middle Roanoke",2006-02-21,64.64,34.75,0.61,0,0,0
"03010102","Middle Roanoke",2006-02-28,0,73.99,26.01,0,0,0
"03010102","Middle Roanoke",2006-03-07,0,73.99,26.01,0,0,0
"03010102","Middle Roanoke",2006-03-14,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-03-21,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-03-28,0,0,83.94,16.06,0,0
"03010102","Middle Roanoke",2006-04-04,0,0,83.94,16.06,0,0
"03010102","Middle Roanoke",2006-04-11,0,0,71.76,28.24,0,0
"03010102","Middle Roanoke",2006-04-18,0,0,63.3,36.7,0,0
"03010102","Middle Roanoke",2006-04-25,0,0,67.63,32.37,0,0
"03010102","Middle Roanoke",2006-05-02,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-05-09,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-05-16,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-05-23,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-05-30,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-06-06,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-06-13,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-06-20,0,100,0,0,0,0
"03010102","Middle Roanoke",2006-06-27,4.95,95.05,0,0,0,0
"03010102","Middle Roanoke",2006-07-04,66.61,33.39,0,0,0,0
"03010102","Middle Roanoke",2006-07-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-07-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-07-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-08-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-08-08,39.31,60.69,0,0,0,0
"03010102","Middle Roanoke",2006-08-15,2.26,97.74,0,0,0,0
"03010102","Middle Roanoke",2006-08-22,0,75.07,24.93,0,0,0
"03010102","Middle Roanoke",2006-08-29,0,0,100,0,0,0
"03010102","Middle Roanoke",2006-09-05,57.05,42.95,0,0,0,0
"03010102","Middle Roanoke",2006-09-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-09-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-09-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-10-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-10-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-10-17,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-10-24,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-10-31,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-11-07,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-11-14,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-11-21,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-11-28,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-12-05,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-12-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-12-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2006-12-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-01-02,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-01-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-01-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-01-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-01-30,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-02-06,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-02-13,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-02-20,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-02-27,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-03-06,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-03-13,0,100,0,0,0,0
"03010102","Middle Roanoke",2007-03-20,91.3,8.7,0,0,0,0
"03010102","Middle Roanoke",2007-03-27,91.3,8.7,0,0,0,0
"03010102","Middle Roanoke",2007-04-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-04-10,98.96,1.04,0,0,0,0
"03010102","Middle Roanoke",2007-04-17,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-04-24,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-05-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-05-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-05-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-05-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2007-05-29,30.75,69.25,0,0,0,0
"03010102","Middle Roanoke",2007-06-05,30.75,69.25,0,0,0,0
"03010102","Middle Roanoke",2007-06-12,17.28,82.72,0,0,0,0
"03010102","Middle Roanoke",2007-06-19,0.31,99.69,0,0,0,0
"03010102","Middle Roanoke",2007-06-26,0,100,0,0,0,0
"03010102","Middle Roanoke",2007-07-03,63.32,36.68,0,0,0,0
"03010102","Middle Roanoke",2007-07-10,0,66.19,33.81,0,0,0
"03010102","Middle Roanoke",2007-07-17,0,59.42,40.58,0,0,0
"03010102","Middle Roanoke",2007-07-24,0,59.42,40.58,0,0,0
"03010102","Middle Roanoke",2007-07-31,0,59.42,40.58,0,0,0
"03010102","Middle Roanoke",2007-08-07,0,59.42,40.58,0,0,0
"03010102","Middle Roanoke",2007-08-14,0,59.42,40.58,0,0,0
"03010102","Middle Roanoke",2007-08-21,0,52.18,47.8,0.02,0,0
"03010102","Middle Roanoke",2007-08-28,0,45.19,54.54,0.27,0,0
"03010102","Middle Roanoke",2007-09-04,0,0,99.57,0.43,0,0
"03010102","Middle Roanoke",2007-09-11,0,0,3.73999999999999,96.26,0,0
