"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","LithDataProvider","ConstDataProvider","Link"
"NCDWR","E11Q6","North Carolina Department of Environmental Quality Division of Water Resources","Okisko","36.268972","-76.316238","NAD83","GPS","<.05","11.326","1","Feet","NAVD88","Trimble R10","<.1 ft","86","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**11Q6&tl=1"
"USGS","361829076163201","U.S. Geological Survey","PK-141 (NC-195) NR ELIZABETH CITY, NC (SURFICIAL)","36.3083333333333","-76.2752777777778","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","12","1","Feet","NAVD88","Differential Global Positioning System (DGPS) - NOT FOR NEW DATA ENTRY IF GNSS methods used. Historically used and includes DGPS and SGPS methods. After October, 2014 only use if commercial DGPS of sub meter accuracy was used.","+/- .02 ft","12.6","1","Feet","S100SURFCL","Surficial aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","","0","No","","","","","","","","","","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=361829076163201&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"NCDWR","D11V5","North Carolina Department of Environmental Quality Division of Water Resources","N.C. Forestry HQ","36.347527","-76.277474","NAD83","GPS","<.05","6.404","1","Feet","NAVD88","Trimble R10","<.1 ft","130","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=D**11V5&tl=1"
"NCDWR","C12W4","North Carolina Department of Environmental Quality Division of Water Resources","Morgans Corner","36.431549","-76.375628","NAD83","GPS","<.05 ft","11.202","1","Feet","NAVD88","Trimble R10","<.1 ft","428","1","Feet","N400CSLHYN","Castle Hayne aquifer","US","United States of America","37","North Carolina","139","Pasquotank County","","Castle Hayne","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**12W4&tl=1"
"NCDWR","C12W5","North Carolina Department of Environmental Quality Division of Water Resources","Morgans Corner","36.431549","-76.375628","NAD83","GPS","<.05 ft","10.902","1","Feet","NAVD88","Trimble R10","<.1 ft","1308","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","","Lower Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**12W5&tl=1"
"NCDWR","C12W6","North Carolina Department of Environmental Quality Division of Water Resources","Morgans Corner","36.431549","-76.375628","NAD83","GPS","<.05 ft","11.152","1","Feet","NAVD88","Trimble R10","<.1 ft","648","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**12W6&tl=1"
"NCDWR","C12W7","North Carolina Department of Environmental Quality Division of Water Resources","Morgans Corner","36.431549","-76.375628","NAD83","GPS","<.05 ft","11.252","1","Feet","NAVD88","Trimble R10","<.1 ft","37","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**12W7&tl=1"
"NCDWR","B10R1","North Carolina Department of Environmental Quality Division of Water Resources","Moyock","36.523704","-76.206839","NAD83","GPS","<.05 ft","12.526","1","Feet","NAVD88","Trimble R10","<.1 ft","840","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","053","Currituck County","","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=B**10R1&tl=1"
"NCDWR","H20T1","North Carolina Department of Environmental Quality Division of Water Resources","Windsor","36.03293","-77.01276","NAD83","GPS","<.05","42.6","1","Feet","NAVD88","Trimble R10","<.1 ft","1001","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","Klcrt","Lower Cretaceous","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","https://www.ncwater.org/?page=536&id=H**20T1&tl=1"
"NCDWR","H20T2","North Carolina Department of Environmental Quality Division of Water Resources","Windsor","36.03293","-77.01276","NAD83","GPS","<.05","42.65","1","Feet","NAVD88","Trimble R10","<.1 ft","560","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","Klcf","Lower Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","https://www.ncwater.org/?page=536&id=H**20T2&tl=1"
"NCDWR","H20T3","North Carolina Department of Environmental Quality Division of Water Resources","Windsor","36.03293","-77.01276","NAD83","GPS","<.05","42.39","1","Feet","NAVD88","Trimble R10","<.1 ft","335","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","Kucf","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","https://www.ncwater.org/?page=536&id=H**20T3&tl=1"
"NCDWR","H20T4","North Carolina Department of Environmental Quality Division of Water Resources","Windsor","36.03293","-77.01276","NAD83","GPS","<.05","42.89","1","Feet","NAVD88","Trimble R10","<.1 ft","280","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","Kucf","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","https://www.ncwater.org/?page=536&id=H**20T4&tl=1"
"NCDWR","H20T6","North Carolina Department of Environmental Quality Division of Water Resources","Windsor","36.03293","-77.01276","NAD83","GPS","<.05","43.51","1","Feet","NAVD88","Trimble R10","<.1 ft","105","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","Tb","Beaufort","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","https://www.ncwater.org/?page=536&id=H**20T6&tl=1"
"NCDWR","F19V2","North Carolina Department of Environmental Quality Division of Water Resources","Cremo","36.16752","-76.938703","NAD83","GPS","<.05 ft","65.527","1","Feet","NAVD88","Trimble R10","<.1 ft","80","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F**19V2&tl=1"
"NCDWR","F19V3","North Carolina Department of Environmental Quality Division of Water Resources","Cremo","36.16752","-76.938703","NAD83","GPS","<.05 ft","65.927","1","Feet","NAVD88","Trimble R10","<.1 ft","225","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F**19V3&tl=1"
"NCDWR","F19V4","North Carolina Department of Environmental Quality Division of Water Resources","Cremo","36.16752","-76.938703","NAD83","GPS","<.05 ft","65.777","1","Feet","NAVD88","Trimble R10","<.1 ft","1038","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","","Lower Cretaceous","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F19V4&tl=1"
"NCDWR","F19V5","North Carolina Department of Environmental Quality Division of Water Resources","Cremo","36.16752","-76.938703","NAD83","GPS","<.05 ft","65.497","1","Feet","NAVD88","Trimble R10","<.1 ft","600","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","","Lower Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F19V5&tl=1"
"NCDWR","F19V6","North Carolina Department of Environmental Quality Division of Water Resources","Cremo","36.16752","-76.938703","NAD83","GPS","<.05 ft","65.397","1","Feet","NAVD88","Trimble R10","<.1 ft","431","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","015","Bertie County","","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F19V6&tl=1"
"NCDWR","F13W1","North Carolina Department of Environmental Quality Division of Water Resources","Perquimans","36.169167","-76.451667","NAD83","GPS","<.05","12.189","1","Feet","NAVD88","Trimble R10","<.1 ft","339","1","Feet","N400CSLHYN","Castle Hayne aquifer","US","United States of America","37","North Carolina","143","Perquimans County","Tch","Castle Hayne","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F**13W1&tl=1"
"NCDWR","E13M1","North Carolina Department of Environmental Quality Division of Water Resources","Four Mile Desert","36.295645","-76.463015","NAD83","GPS","<.05 ft","16.07","1","Feet","NAVD88","Trimble R10","<.1 ft","49","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","143","Perquimans County","","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**13M1&tl=1"
"NCDWR","E13M2","North Carolina Department of Environmental Quality Division of Water Resources","Four Mile Desert","36.295645","-76.463015","NAD83","GPS","<.05 ft","15.56","1","Feet","NAVD88","Trimble R10","<.1 ft","1019","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","143","Perquimans County","","Lower Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**13M2&tl=1"
"NCDWR","E13M3","North Carolina Department of Environmental Quality Division of Water Resources","Four Mile Desert","36.295645","-76.463015","NAD83","GPS","<.05 ft","15.16","1","Feet","NAVD88","Trimble R10","<.1 ft","351","1","Feet","N400CSLHYN","Castle Hayne aquifer","US","United States of America","37","North Carolina","143","Perquimans County","","Castle Hayne","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**13M3&tl=1"
"NCDWR","C12W2","North Carolina Department of Environmental Quality Division of Water Resources","Morgans Corner","36.431549","-76.375628","NAD83","GPS","<.05 ft","11.272","1","Feet","NAVD88","Trimble R10","<.1 ft","40","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**12W2&tl=1"
"NCDWR","C16S6","North Carolina Department of Environmental Quality Division of Water Resources","Merchants Millpond State Park","36.440501","-76.699652","NAD83","GPS","<.05","33","1","Feet","NAVD88","Trimble R10","<.1 ft","870","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","073","Gates County","Klcf","Lower Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**16S6&tl=1"
"NCDWR","C16S1","North Carolina Department of Environmental Quality Division of Water Resources","Merchants Millpond State Park","36.4406","-76.6997","NAD83","GPS","<.05","33","1","Feet","NAVD88","Trimble R10","<.1 ft","460","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","073","Gates County","Kucf","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**16S1&tl=1"
"NCDWR","C16S2","North Carolina Department of Environmental Quality Division of Water Resources","Merchants Millpond State Park","36.4406","-76.6997","NAD83","GPS","<.05","33","1","Feet","NAVD88","Trimble R10","<.1 ft","250","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","073","Gates County","Tb","Beaufort","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**16S2&tl=1"
"NCDWR","C16S3","North Carolina Department of Environmental Quality Division of Water Resources","Merchants Millpond State Park","36.4406","-76.6997","NAD83","GPS","<.05","33","1","Feet","NAVD88","Trimble R10","<.1 ft","205","1","Feet","N400CSLHYN","Castle Hayne aquifer","US","United States of America","37","North Carolina","073","Gates County","Tch","Castle Hayne","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**16S3&tl=1"
"NCDWR","C16S4","North Carolina Department of Environmental Quality Division of Water Resources","Merchants Millpond State Park","36.4406","-76.6997","NAD83","GPS","<.05","33","1","Feet","NAVD88","Trimble R10","<.1 ft","55","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","073","Gates County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**16S4&tl=1"
"NCDWR","C16S5","North Carolina Department of Environmental Quality Division of Water Resources","Merchants Millpond State Park","36.4406","-76.6997","NAD83","GPS","<.05","33","1","Feet","NAVD88","Trimble R10","<.1 ft","25","1","Feet","S100SURFCL","Surficial aquifer system","US","United States of America","37","North Carolina","073","Gates County","S","Surficial","WELL","UNCONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=C**16S5&tl=1"
"NCDWR","J22P1","North Carolina Department of Environmental Quality Division of Water Resources","Gold Point","35.856521","-77.248202","NAD83","GPS","<.05","71.533","1","Feet","NAVD88","Trimble R10","<.1 ft","295","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","117","Martin County","Kucf","Upper Cape Fear","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=J**22P1&tl=1"
