"pwsid","monthAbb","date","demand_mgd","n_days","daily_demand","month","mean_demand","year"
"nc0326010","Oct",2015-10-01,25.305,31,0.82,10,27.377,2015
"nc0326010","Nov",2015-11-01,23.067,30,0.77,11,25.58,2015
"nc0326010","Dec",2015-12-01,24.081,31,0.78,12,24.497,2015
"nc0326010","Jan",2016-01-01,23.902,31,0.77,1,24.704,2016
"nc0326010","Feb",2016-02-01,24.202,29,0.83,2,24.782,2016
"nc0326010","Mar",2016-03-01,25.191,31,0.81,3,25.74,2016
"nc0326010","Apr",2016-04-01,27.153,30,0.91,4,27.261,2016
"nc0326010","May",2016-05-01,28.03,31,0.9,5,29.318,2016
"nc0326010","Jun",2016-06-01,32.046,30,1.07,6,32.048,2016
"nc0326010","Jul",2016-07-01,31.575,31,1.02,7,32.153,2016
"nc0326010","Aug",2016-08-01,31.533,31,1.02,8,31.018,2016
"nc0326010","Sep",2016-09-01,30.754,30,1.03,9,29.819,2016
"nc0326010","Oct",2016-10-01,27.484,31,0.89,10,27.377,2016
"nc0326010","Nov",2016-11-01,26.32,30,0.88,11,25.58,2016
"nc0326010","Dec",2016-12-01,24.268,31,0.78,12,24.497,2016
"nc0326010","Jan",2017-01-01,25.226,31,0.81,1,24.704,2017
"nc0326010","Feb",2017-02-01,24.573,28,0.88,2,24.782,2017
"nc0326010","Mar",2017-03-01,24.767,31,0.8,3,25.74,2017
"nc0326010","Apr",2017-04-01,26.36,30,0.88,4,27.261,2017
"nc0326010","May",2017-05-01,28.88,31,0.93,5,29.318,2017
"nc0326010","Jun",2017-06-01,29.916,30,1,6,32.048,2017
"nc0326010","Jul",2017-07-01,30.057,31,0.97,7,32.153,2017
"nc0326010","Aug",2017-08-01,30.847,31,1,8,31.018,2017
"nc0326010","Sep",2017-09-01,28.798,30,0.96,9,29.819,2017
"nc0326010","Oct",2017-10-01,27.693,31,0.89,10,27.377,2017
"nc0326010","Nov",2017-11-01,26.095,30,0.87,11,25.58,2017
"nc0326010","Dec",2017-12-01,25.322,31,0.82,12,24.497,2017
"nc0326010","Jan",2018-01-01,25.1044,31,0.81,1,24.704,2018
"nc0326010","Feb",2018-02-01,25.3736,28,0.91,2,24.782,2018
"nc0326010","Mar",2018-03-01,26.0391,31,0.84,3,25.74,2018
"nc0326010","Apr",2018-04-01,27.3235,30,0.91,4,27.261,2018
"nc0326010","May",2018-05-01,29.0446,31,0.94,5,29.318,2018
"nc0326010","Jun",2018-06-01,31.3286,30,1.04,6,32.048,2018
"nc0326010","Jul",2018-07-01,32.0787,31,1.03,7,32.153,2018
"nc0326010","Aug",2018-08-01,31.451,31,1.01,8,31.018,2018
"nc0326010","Sep",2018-09-01,30.752,30,1.03,9,29.819,2018
"nc0326010","Oct",2018-10-01,28.8876,31,0.93,10,27.377,2018
"nc0326010","Nov",2018-11-01,26.4943,30,0.88,11,25.58,2018
"nc0326010","Dec",2018-12-01,25.0147,31,0.81,12,24.497,2018
"nc0326010","Jan",2019-01-01,25.2102,31,0.81,1,24.704,2019
"nc0326010","Feb",2019-02-01,25.4794,28,0.91,2,24.782,2019
"nc0326010","Mar",2019-03-01,26.1449,31,0.84,3,25.74,2019
"nc0326010","Apr",2019-04-01,27.4292,30,0.91,4,27.261,2019
"nc0326010","May",2019-05-01,29.1504,31,0.94,5,29.318,2019
"nc0326010","Jun",2019-06-01,31.4344,30,1.05,6,32.048,2019
"nc0326010","Jul",2019-07-01,32.1844,31,1.04,7,32.153,2019
"nc0326010","Aug",2019-08-01,31.5567,31,1.02,8,31.018,2019
"nc0326010","Sep",2019-09-01,30.8577,30,1.03,9,29.819,2019
"nc0326010","Oct",2019-10-01,28.9933,31,0.94,10,27.377,2019
"nc0326010","Nov",2019-11-01,26.6,30,0.89,11,25.58,2019
"nc0326010","Dec",2019-12-01,25.1205,31,0.81,12,24.497,2019
"nc0326010","Jan",2020-01-01,25.3159,31,0.82,1,24.704,2020
"nc0326010","Feb",2020-02-01,25.5851,29,0.88,2,24.782,2020
"nc0326010","Mar",2020-03-01,26.2506,31,0.85,3,25.74,2020
"nc0326010","Apr",2020-04-01,27.5349,30,0.92,4,27.261,2020
"nc0326010","May",2020-05-01,29.2561,31,0.94,5,29.318,2020
"nc0326010","Jun",2020-06-01,31.5401,30,1.05,6,32.048,2020
"nc0326010","Jul",2020-07-01,32.2901,31,1.04,7,32.153,2020
"nc0326010","Aug",2020-08-01,31.6625,31,1.02,8,31.018,2020
"nc0326010","Sep",2020-09-01,30.9634,30,1.03,9,29.819,2020
"nc0326010","Oct",2020-10-01,29.099,31,0.94,10,27.377,2020
"nc0332010","Jan",2009-01-01,23.95,31,0.77,1,24.111,2009
"nc0332010","Feb",2009-02-01,24.57,28,0.88,2,24.623,2009
"nc0332010","Mar",2009-03-01,26.11,31,0.84,3,25.232,2009
"nc0332010","Apr",2009-04-01,26.68,30,0.89,4,26.633,2009
"nc0332010","May",2009-05-01,28.17,31,0.91,5,28.215,2009
"nc0332010","Jun",2009-06-01,30.73,30,1.02,6,30.619,2009
"nc0332010","Jul",2009-07-01,29.89,31,0.96,7,31.513,2009
"nc0332010","Aug",2009-08-01,29.47,31,0.95,8,31.441,2009
"nc0332010","Sep",2009-09-01,27.36,30,0.91,9,30.704,2009
"nc0332010","Oct",2009-10-01,24.69,31,0.8,10,27.907,2009
"nc0332010","Nov",2009-11-01,21.68,30,0.72,11,25.129,2009
"nc0332010","Dec",2009-12-01,19.74,31,0.64,12,23.785,2009
"nc0332010","Jan",2010-01-01,20.55,31,0.66,1,24.111,2010
"nc0332010","Feb",2010-02-01,18.82,28,0.67,2,24.623,2010
"nc0332010","Mar",2010-03-01,21.79,31,0.7,3,25.232,2010
"nc0332010","Apr",2010-04-01,24.31,30,0.81,4,26.633,2010
"nc0332010","May",2010-05-01,26.1,31,0.84,5,28.215,2010
"nc0332010","Jun",2010-06-01,28.32,30,0.94,6,30.619,2010
"nc0332010","Jul",2010-07-01,30.22,31,0.97,7,31.513,2010
"nc0332010","Aug",2010-08-01,28.38,31,0.92,8,31.441,2010
"nc0332010","Sep",2010-09-01,31.17,30,1.04,9,30.704,2010
"nc0332010","Oct",2010-10-01,25.55,31,0.82,10,27.907,2010
"nc0332010","Nov",2010-11-01,21.54,30,0.72,11,25.129,2010
"nc0332010","Dec",2010-12-01,20.42,31,0.66,12,23.785,2010
"nc0332010","Jan",2011-01-01,18.9,31,0.61,1,24.111,2011
"nc0332010","Feb",2011-02-01,20.49,28,0.73,2,24.623,2011
"nc0332010","Mar",2011-03-01,20.87,31,0.67,3,25.232,2011
"nc0332010","Apr",2011-04-01,25.17,30,0.84,4,26.633,2011
"nc0332010","May",2011-05-01,27.75,31,0.9,5,28.215,2011
"nc0332010","Jun",2011-06-01,33.31,30,1.11,6,30.619,2011
"nc0332010","Jul",2011-07-01,34.05,31,1.1,7,31.513,2011
"nc0332010","Aug",2011-08-01,32.55,31,1.05,8,31.441,2011
"nc0332010","Sep",2011-09-01,30.3,30,1.01,9,30.704,2011
"nc0332010","Oct",2011-10-01,29.5,31,0.95,10,27.907,2011
"nc0332010","Nov",2011-11-01,26.08,30,0.87,11,25.129,2011
"nc0332010","Dec",2011-12-01,25.04,31,0.81,12,23.785,2011
"nc0332010","Jan",2012-01-01,25.19,31,0.81,1,24.111,2012
"nc0332010","Feb",2012-02-01,25.2,29,0.87,2,24.623,2012
"nc0332010","Mar",2012-03-01,25.57,31,0.82,3,25.232,2012
"nc0332010","Apr",2012-04-01,26.26,30,0.88,4,26.633,2012
"nc0332010","May",2012-05-01,28.45,31,0.92,5,28.215,2012
"nc0332010","Jun",2012-06-01,29.94,30,1,6,30.619,2012
"nc0332010","Jul",2012-07-01,33.53,31,1.08,7,31.513,2012
"nc0332010","Aug",2012-08-01,33.17,31,1.07,8,31.441,2012
"nc0332010","Sep",2012-09-01,30.63,30,1.02,9,30.704,2012
"nc0332010","Oct",2012-10-01,26.21,31,0.85,10,27.907,2012
"nc0332010","Nov",2012-11-01,24.35,30,0.81,11,25.129,2012
"nc0332010","Dec",2012-12-01,22.49,31,0.73,12,23.785,2012
"nc0332010","Jan",2013-01-01,23.89,31,0.77,1,24.111,2013
"nc0332010","Feb",2013-02-01,24.28,28,0.87,2,24.623,2013
"nc0332010","Mar",2013-03-01,23.57,31,0.76,3,25.232,2013
"nc0332010","Apr",2013-04-01,26.07,30,0.87,4,26.633,2013
"nc0332010","May",2013-05-01,27.56,31,0.89,5,28.215,2013
"nc0332010","Jun",2013-06-01,27.82,30,0.93,6,30.619,2013
"nc0332010","Jul",2013-07-01,28.52,31,0.92,7,31.513,2013
"nc0332010","Aug",2013-08-01,30.77,31,0.99,8,31.441,2013
"nc0332010","Sep",2013-09-01,29.87,30,1,9,30.704,2013
"nc0332010","Oct",2013-10-01,27.47,31,0.89,10,27.907,2013
"nc0332010","Nov",2013-11-01,25.21,30,0.84,11,25.129,2013
"nc0332010","Dec",2013-12-01,23.91,31,0.77,12,23.785,2013
"nc0332010","Jan",2014-01-01,25.12,31,0.81,1,24.111,2014
"nc0332010","Feb",2014-02-01,24.36,28,0.87,2,24.623,2014
"nc0332010","Mar",2014-03-01,24.9,31,0.8,3,25.232,2014
"nc0332010","Apr",2014-04-01,25.89,30,0.86,4,26.633,2014
"nc0332010","May",2014-05-01,28.07,31,0.91,5,28.215,2014
"nc0332010","Jun",2014-06-01,30.03,30,1,6,30.619,2014
"nc0332010","Jul",2014-07-01,30.53,31,0.98,7,31.513,2014
"nc0332010","Aug",2014-08-01,28.4,31,0.92,8,31.441,2014
"nc0332010","Sep",2014-09-01,29.62,30,0.99,9,30.704,2014
"nc0332010","Oct",2014-10-01,27.13,31,0.88,10,27.907,2014
"nc0332010","Nov",2014-11-01,25.18,30,0.84,11,25.129,2014
"nc0332010","Dec",2014-12-01,24.31,31,0.78,12,23.785,2014
"nc0332010","Jan",2015-01-01,23.77,31,0.77,1,24.111,2015
"nc0332010","Feb",2015-02-01,24.99,28,0.89,2,24.623,2015
"nc0332010","Mar",2015-03-01,25,31,0.81,3,25.232,2015
"nc0332010","Apr",2015-04-01,25.3,30,0.84,4,26.633,2015
"nc0332010","May",2015-05-01,28.25,31,0.91,5,28.215,2015
"nc0332010","Jun",2015-06-01,31.68,30,1.06,6,30.619,2015
"nc0332010","Jul",2015-07-01,30.7,31,0.99,7,31.513,2015
"nc0332010","Aug",2015-08-01,32.33,31,1.04,8,31.441,2015
"nc0332010","Sep",2015-09-01,30.31,30,1.01,9,30.704,2015
"nc0332010","Oct",2015-10-01,25.9,31,0.84,10,27.907,2015
"nc0332010","Nov",2015-11-01,23.98,30,0.8,11,25.129,2015
"nc0332010","Dec",2015-12-01,24.56,31,0.79,12,23.785,2015
"nc0332010","Jan",2016-01-01,24.31,31,0.78,1,24.111,2016
"nc0332010","Feb",2016-02-01,25.33,29,0.87,2,24.623,2016
"nc0332010","Mar",2016-03-01,26.09,31,0.84,3,25.232,2016
"nc0332010","Apr",2016-04-01,27.74,30,0.92,4,26.633,2016
"nc0332010","May",2016-05-01,25.98,31,0.84,5,28.215,2016
"nc0332010","Jun",2016-06-01,29.35,30,0.98,6,30.619,2016
"nc0332010","Jul",2016-07-01,30.15,31,0.97,7,31.513,2016
"nc0332010","Aug",2016-08-01,32.48,31,1.05,8,31.441,2016
"nc0332010","Sep",2016-09-01,32.18,30,1.07,9,30.704,2016
"nc0332010","Oct",2016-10-01,29.29,31,0.94,10,27.907,2016
"nc0332010","Nov",2016-11-01,27.99,30,0.93,11,25.129,2016
"nc0332010","Dec",2016-12-01,25.15,31,0.81,12,23.785,2016
"nc0332010","Jan",2017-01-01,25.82,31,0.83,1,24.111,2017
"nc0332010","Feb",2017-02-01,28.8,28,1.03,2,24.623,2017
"nc0332010","Mar",2017-03-01,28.25,31,0.91,3,25.232,2017
"nc0332010","Apr",2017-04-01,27.69,30,0.92,4,26.633,2017
"nc0332010","May",2017-05-01,28.6,31,0.92,5,28.215,2017
"nc0332010","Jun",2017-06-01,29.74,30,0.99,6,30.619,2017
"nc0332010","Jul",2017-07-01,31.81,31,1.03,7,31.513,2017
"nc0332010","Aug",2017-08-01,32.87,31,1.06,8,31.441,2017
"nc0332010","Sep",2017-09-01,32.23,30,1.07,9,30.704,2017
"nc0332010","Oct",2017-10-01,29.96,31,0.97,10,27.907,2017
"nc0332010","Nov",2017-11-01,26.09,30,0.87,11,25.129,2017
"nc0332010","Dec",2017-12-01,24.65,31,0.8,12,23.785,2017
"nc0332010","Jan",2018-01-01,25.5989,31,0.83,1,24.111,2018
"nc0332010","Feb",2018-02-01,25.8681,28,0.92,2,24.623,2018
"nc0332010","Mar",2018-03-01,26.5336,31,0.86,3,25.232,2018
"nc0332010","Apr",2018-04-01,27.8179,30,0.93,4,26.633,2018
"nc0332010","May",2018-05-01,29.5391,31,0.95,5,28.215,2018
"nc0332010","Jun",2018-06-01,31.8231,30,1.06,6,30.619,2018
"nc0332010","Jul",2018-07-01,32.5731,31,1.05,7,31.513,2018
"nc0332010","Aug",2018-08-01,31.9454,31,1.03,8,31.441,2018
"nc0332010","Sep",2018-09-01,31.2464,30,1.04,9,30.704,2018
"nc0332010","Oct",2018-10-01,29.382,31,0.95,10,27.907,2018
"nc0332010","Nov",2018-11-01,26.9888,30,0.9,11,25.129,2018
"nc0332010","Dec",2018-12-01,25.5092,31,0.82,12,23.785,2018
"nc0332010","Jan",2019-01-01,25.9441,31,0.84,1,24.111,2019
"nc0332010","Feb",2019-02-01,26.2133,28,0.94,2,24.623,2019
"nc0332010","Mar",2019-03-01,26.8788,31,0.87,3,25.232,2019
"nc0332010","Apr",2019-04-01,28.1632,30,0.94,4,26.633,2019
"nc0332010","May",2019-05-01,29.8843,31,0.96,5,28.215,2019
"nc0332010","Jun",2019-06-01,32.1683,30,1.07,6,30.619,2019
"nc0332010","Jul",2019-07-01,32.9183,31,1.06,7,31.513,2019
"nc0332010","Aug",2019-08-01,32.2907,31,1.04,8,31.441,2019
"nc0332010","Sep",2019-09-01,31.5916,30,1.05,9,30.704,2019
"nc0332010","Oct",2019-10-01,29.7272,31,0.96,10,27.907,2019
"nc0332010","Nov",2019-11-01,27.334,30,0.91,11,25.129,2019
"nc0332010","Dec",2019-12-01,25.8544,31,0.83,12,23.785,2019
"nc0332010","Jan",2020-01-01,26.2893,31,0.85,1,24.111,2020
"nc0332010","Feb",2020-02-01,26.5585,29,0.92,2,24.623,2020
"nc0332010","Mar",2020-03-01,27.224,31,0.88,3,25.232,2020
"nc0332010","Apr",2020-04-01,28.5084,30,0.95,4,26.633,2020
"nc0332010","May",2020-05-01,30.2295,31,0.98,5,28.215,2020
"nc0332010","Jun",2020-06-01,32.5135,30,1.08,6,30.619,2020
"nc0332010","Jul",2020-07-01,33.2636,31,1.07,7,31.513,2020
"nc0332010","Aug",2020-08-01,32.6359,31,1.05,8,31.441,2020
"nc0332010","Sep",2020-09-01,31.9368,30,1.06,9,30.704,2020
"nc0332010","Oct",2020-10-01,30.0725,31,0.97,10,27.907,2020
"nc0368010","Jan",2009-01-01,6.43,31,0.21,1,5.641,2009
"nc0368010","Feb",2009-02-01,6.82,28,0.24,2,5.805,2009
"nc0368010","Mar",2009-03-01,7.7,31,0.25,3,5.948,2009
"nc0368010","Apr",2009-04-01,8.18,30,0.27,4,6.599,2009
"nc0368010","May",2009-05-01,7.76,31,0.25,5,7.009,2009
"nc0368010","Jun",2009-06-01,8.17,30,0.27,6,7.951,2009
"nc0368010","Jul",2009-07-01,9.1,31,0.29,7,8.191,2009
"nc0368010","Aug",2009-08-01,8.87,31,0.29,8,7.983,2009
"nc0368010","Sep",2009-09-01,8.73,30,0.29,9,8.126,2009
"nc0368010","Oct",2009-10-01,8.58,31,0.28,10,7.568,2009
"nc0368010","Nov",2009-11-01,7.62,30,0.25,11,6.422,2009
"nc0368010","Dec",2009-12-01,6.64,31,0.21,12,5.546,2009
"nc0368010","Jan",2010-01-01,6.97,31,0.22,1,5.641,2010
"nc0368010","Feb",2010-02-01,6.99,28,0.25,2,5.805,2010
"nc0368010","Mar",2010-03-01,6.92,31,0.22,3,5.948,2010
"nc0368010","Apr",2010-04-01,7.76,30,0.26,4,6.599,2010
"nc0368010","May",2010-05-01,7.93,31,0.26,5,7.009,2010
"nc0368010","Jun",2010-06-01,8.7,30,0.29,6,7.951,2010
"nc0368010","Jul",2010-07-01,8.55,31,0.28,7,8.191,2010
"nc0368010","Aug",2010-08-01,7.88,31,0.25,8,7.983,2010
"nc0368010","Sep",2010-09-01,8.88,30,0.3,9,8.126,2010
"nc0368010","Oct",2010-10-01,8.05,31,0.26,10,7.568,2010
"nc0368010","Nov",2010-11-01,7.53,30,0.25,11,6.422,2010
"nc0368010","Dec",2010-12-01,6.3,31,0.2,12,5.546,2010
"nc0368010","Jan",2011-01-01,6.4,31,0.21,1,5.641,2011
"nc0368010","Feb",2011-02-01,6.61,28,0.24,2,5.805,2011
"nc0368010","Mar",2011-03-01,6.31,31,0.2,3,5.948,2011
"nc0368010","Apr",2011-04-01,6.79,30,0.23,4,6.599,2011
"nc0368010","May",2011-05-01,6.92,31,0.22,5,7.009,2011
"nc0368010","Jun",2011-06-01,7.77,30,0.26,6,7.951,2011
"nc0368010","Jul",2011-07-01,7.65,31,0.25,7,8.191,2011
"nc0368010","Aug",2011-08-01,7.7,31,0.25,8,7.983,2011
"nc0368010","Sep",2011-09-01,7.48,30,0.25,9,8.126,2011
"nc0368010","Oct",2011-10-01,7.4,31,0.24,10,7.568,2011
"nc0368010","Nov",2011-11-01,6.63,30,0.22,11,6.422,2011
"nc0368010","Dec",2011-12-01,6.07,31,0.2,12,5.546,2011
"nc0368010","Jan",2012-01-01,6.35,31,0.2,1,5.641,2012
"nc0368010","Feb",2012-02-01,6.43,29,0.22,2,5.805,2012
"nc0368010","Mar",2012-03-01,6.32,31,0.2,3,5.948,2012
"nc0368010","Apr",2012-04-01,6.71,30,0.22,4,6.599,2012
"nc0368010","May",2012-05-01,6.85,31,0.22,5,7.009,2012
"nc0368010","Jun",2012-06-01,7.25,30,0.24,6,7.951,2012
"nc0368010","Jul",2012-07-01,7.5,31,0.24,7,8.191,2012
"nc0368010","Aug",2012-08-01,7.19,31,0.23,8,7.983,2012
"nc0368010","Sep",2012-09-01,7.36,30,0.25,9,8.126,2012
"nc0368010","Oct",2012-10-01,6.94,31,0.22,10,7.568,2012
"nc0368010","Nov",2012-11-01,6.59,30,0.22,11,6.422,2012
"nc0368010","Dec",2012-12-01,5.86,31,0.19,12,5.546,2012
"nc0368010","Jan",2013-01-01,6.4,31,0.21,1,5.641,2013
"nc0368010","Feb",2013-02-01,6.47,28,0.23,2,5.805,2013
"nc0368010","Mar",2013-03-01,6.18,31,0.2,3,5.948,2013
"nc0368010","Apr",2013-04-01,6.58,30,0.22,4,6.599,2013
"nc0368010","May",2013-05-01,6.34,31,0.2,5,7.009,2013
"nc0368010","Jun",2013-06-01,6.46,30,0.22,6,7.951,2013
"nc0368010","Jul",2013-07-01,6.62,31,0.21,7,8.191,2013
"nc0368010","Aug",2013-08-01,6.89,31,0.22,8,7.983,2013
"nc0368010","Sep",2013-09-01,7.55,30,0.25,9,8.126,2013
"nc0368010","Oct",2013-10-01,7.14,31,0.23,10,7.568,2013
"nc0368010","Nov",2013-11-01,6.67,30,0.22,11,6.422,2013
"nc0368010","Dec",2013-12-01,5.84,31,0.19,12,5.546,2013
"nc0368010","Jan",2014-01-01,6.46,31,0.21,1,5.641,2014
"nc0368010","Feb",2014-02-01,6.79,28,0.24,2,5.805,2014
"nc0368010","Mar",2014-03-01,6.55,31,0.21,3,5.948,2014
"nc0368010","Apr",2014-04-01,6.84,30,0.23,4,6.599,2014
"nc0368010","May",2014-05-01,7.37,31,0.24,5,7.009,2014
"nc0368010","Jun",2014-06-01,7.59,30,0.25,6,7.951,2014
"nc0368010","Jul",2014-07-01,7.63,31,0.25,7,8.191,2014
"nc0368010","Aug",2014-08-01,6.81,31,0.22,8,7.983,2014
"nc0368010","Sep",2014-09-01,7.58,30,0.25,9,8.126,2014
"nc0368010","Oct",2014-10-01,7.18,31,0.23,10,7.568,2014
"nc0368010","Nov",2014-11-01,6.58,30,0.22,11,6.422,2014
"nc0368010","Dec",2014-12-01,6.05,31,0.2,12,5.546,2014
"nc0368010","Jan",2015-01-01,6.56,31,0.21,1,5.641,2015
"nc0368010","Feb",2015-02-01,6.76,28,0.24,2,5.805,2015
"nc0368010","Mar",2015-03-01,6.41,31,0.21,3,5.948,2015
"nc0368010","Apr",2015-04-01,6.49,30,0.22,4,6.599,2015
"nc0368010","May",2015-05-01,6.81,31,0.22,5,7.009,2015
"nc0368010","Jun",2015-06-01,7.38,30,0.25,6,7.951,2015
"nc0368010","Jul",2015-07-01,6.94,31,0.22,7,8.191,2015
"nc0368010","Aug",2015-08-01,7.51,31,0.24,8,7.983,2015
"nc0368010","Sep",2015-09-01,7.26,30,0.24,9,8.126,2015
"nc0368010","Oct",2015-10-01,6.83,31,0.22,10,7.568,2015
"nc0368010","Nov",2015-11-01,6.29,30,0.21,11,6.422,2015
"nc0368010","Dec",2015-12-01,5.72,31,0.18,12,5.546,2015
"nc0368010","Jan",2016-01-01,6.1,31,0.2,1,5.641,2016
"nc0368010","Feb",2016-02-01,6.34,29,0.22,2,5.805,2016
"nc0368010","Mar",2016-03-01,6.28,31,0.2,3,5.948,2016
"nc0368010","Apr",2016-04-01,6.88,30,0.23,4,6.599,2016
"nc0368010","May",2016-05-01,6.12,31,0.2,5,7.009,2016
"nc0368010","Jun",2016-06-01,6.85,30,0.23,6,7.951,2016
"nc0368010","Jul",2016-07-01,6.75,31,0.22,7,8.191,2016
"nc0368010","Aug",2016-08-01,7.17,31,0.23,8,7.983,2016
