"site","julian","date","status","month","huc8","ws_watershed"
"0209722970",263,"Sep-20","Extremely Dry","Sep","03030002",NA
"02097280",263,"Sep-20","Moderately Dry","Sep","03030002","Haw River (Jordan Lake)"
"02097314",263,"Sep-20","Moderately Dry","Sep","03030002","Haw River (Jordan Lake)"
"0209734440",263,"Sep-20","Moderately Wet","Sep","03030002",NA
"0209741955",263,"Sep-20","Moderately Wet","Sep","03030002","Haw River (Jordan Lake)"
"02097464",263,"Sep-20","Moderately Wet","Sep","03030002","Morgan Creek"
"02097517",263,"Sep-20","Very Dry","Sep","03030002","Haw River (Jordan Lake)"
"0209782609",263,"Sep-20","Moderately Dry","Sep","03030002","Haw River (Jordan Lake)"
"02098206",263,"Sep-20","Very Wet","Sep","03030002","Cape Fear River (Sanford)"
"02099000",263,"Sep-20","Moderately Dry","Sep","03030003","East Fork Deep River (High Point Lake)"
"02100500",263,"Sep-20","Moderately Dry","Sep","03030003",NA
"0210166029",263,"Sep-20","Moderately Wet","Sep","03030003","Rocky River"
"02101726",263,"Sep-20","Moderately Dry","Sep","03030003",NA
"02101800",263,"Sep-20","Moderately Wet","Sep","03030003",NA
"02102000",263,"Sep-20","Moderately Dry","Sep","03030003","Cape Fear River (Sanford)"
"02102192",263,"Sep-20","Very Wet","Sep","03030004",NA
"02102500",263,"Sep-20","Moderately Dry","Sep","03030004","Cape Fear River (Dunn)"
"02102908",263,"Sep-20","Moderately Dry","Sep","03030004","Little River (Intake no. 2)"
"02103000",263,"Sep-20","Extremely Dry","Sep","03030004",NA
"02104220",263,"Sep-20","Moderately Dry","Sep","03030004",NA
"02105500",263,"Sep-20","Moderately Dry","Sep","03030005","Cape Fear River (Smithfield Packing Co)"
"02105769",220,"Aug-08","Moderately Wet","Aug","03030005","Cape Fear River (Wilmington)"
"02106500",263,"Sep-20","Extremely Dry","Sep","03030006",NA
"02108000",263,"Sep-20","Very Dry","Sep","03030007",NA
"02109500",263,"Sep-20","Very Dry","Sep","03040206",NA
"02111000",263,"Sep-20","Moderately Dry","Sep","03040101",NA
"02111180",263,"Sep-20","Moderately Dry","Sep","03040101",NA
"0211139110",263,"Sep-20","Moderately Dry","Sep","03040101","Yadkin River (Wilkesboro)"
"02111500",263,"Sep-20","Moderately Dry","Sep","03040101","Reddies River"
"02112000",263,"Sep-20","Moderately Dry","Sep","03040101",NA
"02112250",263,"Sep-20","Moderately Dry","Sep","03040101",NA
"02113850",263,"Sep-20","Moderately Dry","Sep","03040101",NA
"02114450",263,"Sep-20","Moderately Dry","Sep","03040101","Yadkin River - King"
"02115360",263,"Sep-20","Moderately Dry","Sep","03040101","Yadkin River - Davie Co."
"02116500",263,"Sep-20","Moderately Dry","Sep","03040101","Yadkin River (Davidson Co.)"
"02118000",263,"Sep-20","Very Wet","Sep","03040102","South Yadkin River - Cooleemee"
"02118500",263,"Sep-20","Moderately Dry","Sep","03040102","Hunting Creek"
"02120780",263,"Sep-20","Moderately Dry","Sep","03040102",NA
"02121500",263,"Sep-20","Moderately Dry","Sep","03040103",NA
"0212378405",263,"Sep-20","Extremely Dry","Sep","03040104",NA
"0212393300",263,"Sep-20","Moderately Wet","Sep","03040105",NA
"02124080",263,"Sep-20","Moderately Dry","Sep","03040105",NA
"0212414900",263,"Sep-20","Moderately Dry","Sep","03040105",NA
"0212419274",263,"Sep-20","Moderately Dry","Sep","03040105","Coddle Creek"
"02124269",263,"Sep-20","Moderately Wet","Sep","03040105",NA
"0212427947",263,"Sep-20","Very Dry","Sep","03040105",NA
"0212430293",263,"Sep-20","Very Wet","Sep","03040105",NA
"0212430653",263,"Sep-20","Moderately Wet","Sep","03040105",NA
"0212433550",263,"Sep-20","Moderately Wet","Sep","03040105",NA
"0212466000",263,"Sep-20","Very Dry","Sep","03040105",NA
"0212467451",263,"Sep-20","Moderately Dry","Sep","03040105",NA
"0212467595",263,"Sep-20","Moderately Dry","Sep","03040105",NA
"02126000",263,"Sep-20","Moderately Dry","Sep","03040105",NA
"02128000",263,"Sep-20","Moderately Dry","Sep","03040104",NA
"02129000",263,"Sep-20","Moderately Wet","Sep","03040201",NA
"02132320",263,"Sep-20","Moderately Dry","Sep","03040204",NA
"02133500",263,"Sep-20","Moderately Dry","Sep","03040203",NA
"02133624",263,"Sep-20","Moderately Dry","Sep","03040203",NA
"02134170",263,"Sep-20","Moderately Dry","Sep","03040203",NA
"02134480",263,"Sep-20","Extremely Dry","Sep","03040203",NA
"02134500",263,"Sep-20","Very Dry","Sep","03040203",NA
"02137727",263,"Sep-20","Moderately Wet","Sep","03050101",NA
"02138500",263,"Sep-20","Moderately Wet","Sep","03050101",NA
"02138520",263,"Sep-20","Extremely Dry","Sep","03050101",NA
"02140991",263,"Sep-20","Moderately Wet","Sep","03050101","Lake Rhodhiss"
"0214183365",263,"Sep-20","Extremely Dry","Sep","03050101","Lake Hickory"
"0214192500",263,"Sep-20","Extremely Dry","Sep","03050101",NA
"02142000",263,"Sep-20","Moderately Dry","Sep","03050101",NA
"0214244102",263,"Sep-20","Extremely Dry","Sep","03050101","Lookout Shoals Lake"
"02142654",263,"Sep-20","Very Dry","Sep","03050101","Mountain Island Lake"
"0214265808",263,"Sep-20","Moderately Dry","Sep","03050101","Mountain Island Lake"
"0214265828",263,"Sep-20","Extremely Dry","Sep","03050101","Mountain Island Lake"
"0214266000",263,"Sep-20","Moderately Dry","Sep","03050101","Mountain Island Lake"
"0214266080",263,"Sep-20","Moderately Dry","Sep","03050101","Mountain Island Lake"
"0214269560",263,"Sep-20","Moderately Wet","Sep","03050101",NA
"02142900",263,"Sep-20","Extremely Dry","Sep","03050101","Lake Wylie"
"02142914",263,"Sep-20","Very Dry","Sep","03050101","Lake Wylie"
"0214291555",263,"Sep-20","Moderately Dry","Sep","03050101","Lake Wylie"
"0214295600",263,"Sep-20","Extremely Dry","Sep","03050101",NA
"0214297160",263,"Sep-20","Moderately Wet","Sep","03050101",NA
"02143000",263,"Sep-20","Moderately Wet","Sep","03050102",NA
"02143040",263,"Sep-20","Moderately Wet","Sep","03050102","Jacob Fork"
"02143500",263,"Sep-20","Moderately Dry","Sep","03050102","South Fork Catawba River (High Shoals)"
"02144000",263,"Sep-20","Moderately Dry","Sep","03050102",NA
"02145000",263,"Sep-20","Moderately Dry","Sep","03050102",NA
"02146211",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"0214627970",263,"Sep-20","Moderately Wet","Sep","03050103",NA
"02146285",263,"Sep-20","Very Wet","Sep","03050103",NA
"02146300",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02146315",263,"Sep-20","Very Dry","Sep","03050103",NA
"02146348",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02146381",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02146409",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"0214642825",263,"Sep-20","Moderately Wet","Sep","03050103",NA
"0214643820",263,"Sep-20","Very Dry","Sep","03050103",NA
"0214645022",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02146470",263,"Sep-20","Very Dry","Sep","03050103",NA
"02146507",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02146530",263,"Sep-20","Very Dry","Sep","03050103",NA
"0214655255",263,"Sep-20","Very Dry","Sep","03050103",NA
"02146562",263,"Sep-20","Very Dry","Sep","03050103",NA
"0214657975",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02146600",263,"Sep-20","Very Dry","Sep","03050103",NA
"02146670",263,"Sep-20","Moderately Wet","Sep","03050103",NA
"02146700",263,"Sep-20","Extremely Dry","Sep","03050103",NA
"02146750",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"0214678175",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"0214685800",263,"Sep-20","Moderately Dry","Sep","03050103",NA
"02149000",263,"Sep-20","Moderately Wet","Sep","03050105",NA
"02150495",263,"Sep-20","Moderately Wet","Sep","03050105","Second Broad River - Forest City"
"02151500",263,"Sep-20","Moderately Dry","Sep","03050105","Broad River (Shelby)"
"02152100",263,"Sep-20","Moderately Wet","Sep","03050105",NA
"02152474",263,"Sep-20","Moderately Wet","Sep","03050105","First Broad River"
"03161000",263,"Sep-20","Moderately Dry","Sep","05050001","South Fork New River (Jefferson,W.Jefferson)"
"03439000",263,"Sep-20","Very Wet","Sep","06010105",NA
"03441000",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"03443000",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"03446000",263,"Sep-20","Moderately Wet","Sep","06010105","Mills River"
"03447687",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"0344894205",263,"Sep-20","Moderately Wet","Sep","06010105","North Fork Swannanoa River"
"03450000",263,"Sep-20","Moderately Wet","Sep","06010105","Beetree Creek (Beetree Res.)"
"03451000",263,"Sep-20","Very Wet","Sep","06010105",NA
"03451500",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"03453000",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"03453500",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"03454500",263,"Sep-20","Moderately Wet","Sep","06010105",NA
"03455500",263,"Sep-20","Very Wet","Sep","06010106","Pigeon River"
"0345577330",263,"Sep-20","Very Wet","Sep","06010106","Pigeon River"
"03456100",263,"Sep-20","Very Wet","Sep","06010106","Pigeon River"
"03456500",263,"Sep-20","Moderately Wet","Sep","06010106","Pigeon River"
"03456991",263,"Sep-20","Very Wet","Sep","06010106","Pigeon River"
"03459500",263,"Sep-20","Very Wet","Sep","06010106",NA
"03460000",263,"Sep-20","Moderately Wet","Sep","06010106",NA
"03460795",263,"Sep-20","Moderately Wet","Sep","06010106",NA
"03463300",263,"Sep-20","Moderately Wet","Sep","06010108",NA
"03479000",263,"Sep-20","Moderately Wet","Sep","06010103",NA
"03500000",263,"Sep-20","Very Wet","Sep","06010202",NA
"03503000",263,"Sep-20","Very Wet","Sep","06010202",NA
"03504000",263,"Sep-20","Extremely Wet","Sep","06010202",NA
"03505550",263,"Sep-20","Extremely Wet","Sep","06010202",NA
"03508050",263,"Sep-20","Moderately Wet","Sep","06010203","Tuckasegee River"
"03510577",263,"Sep-20","Moderately Wet","Sep","06010203",NA
"03512000",263,"Sep-20","Moderately Wet","Sep","06010203",NA
"03513000",263,"Sep-20","Moderately Wet","Sep","06010203",NA
"0351706800",263,"Sep-20","Extremely Wet","Sep","06010204",NA
"03550000",263,"Sep-20","Extremely Wet","Sep","06020002",NA
